person_id,runtime_cohort,leg_mode,planned_origin_type,planned_destination_type,planned_departure_time,route_distance,realized_departure_time,elapsed_to_48h_seconds,last_event_before_stuck,last_event_time,last_link_id,last_car_movement,last_car_movement_time,last_car_movement_link,pt_reached_stop,pt_boarded,pt_left_vehicle,pt_on_vehicle_at_cutoff,waiting_stop,destination_stop,transit_vehicle,transit_line,transit_route,already_stuck_at_43h,root_cause
"6356455",regional_background,pt,"other","home",62928.000,12547.382,70026.000,102774.000,waitingForPt,70026.000,"102233.1",<none>,,"",true,true,true,false,"102233.1","168871","tr_1011","XXX---162192_4","XXX---162192_4_25",true,PT_BOARDED_NOT_ARRIVED
"6370452",regional_background,pt,"other","home",34170.000,47475.155,109224.000,63576.000,waitingForPt,109224.000,"3605",<none>,,"",true,false,false,false,"3605","68240.1","","","",true,PT_NEVER_BOARDED
"6383831",regional_background,pt,"other","home",52725.000,8957.259,62886.000,109914.000,waitingForPt,62886.000,"136879.1",<none>,,"",true,false,false,false,"136879.1","22825","","","",true,PT_NEVER_BOARDED
"6399858",regional_background,pt,"other","home",43661.000,7716.091,48165.000,124635.000,waitingForPt,48165.000,"135395.2",<none>,,"",true,false,false,false,"135395.2","134275.2","","","",true,PT_NEVER_BOARDED
"6421064",regional_background,pt,"other","home",56808.000,1730.721,64800.000,108000.000,waitingForPt,64800.000,"134315",<none>,,"",true,false,false,false,"134315","134321","","","",true,PT_NEVER_BOARDED
"6424296",regional_background,pt,"other","home",56100.000,11947.845,63114.000,109686.000,waitingForPt,63114.000,"139254.3",<none>,,"",true,true,true,false,"139254.3","143667","tr_17816","XXX---2255113_3","XXX---2255113_3_9",true,PT_BOARDED_NOT_ARRIVED
"6427363",regional_background,pt,"other","home",53640.000,14091.223,67934.000,104866.000,waitingForPt,67934.000,"22824",<none>,,"",true,true,true,false,"22824","139272","tr_38208","XXX---2270732_3","XXX---2270732_3_2",true,PT_BOARDED_NOT_ARRIVED
"6433673",regional_background,pt,"other","home",53460.000,8120.435,58769.000,114031.000,waitingForPt,58769.000,"101743.1",<none>,,"",true,true,true,false,"101743.1","135394.1","tr_830","XXX---162007_2_1158070147","XXX---162007_2_1158070147_0",true,PT_BOARDED_NOT_ARRIVED
"6451508",regional_background,car,"shopping","home",48428.000,41902.055,86659.000,86141.000,entered link,116314.000,"453133",entered link,116314.000,"453133",false,false,false,false,"","","","","",true,CAR_NO_PROGRESS_OR_NETWORK_CLUSTER
"6453307",regional_background,pt,"other","home",66840.000,15010.502,70331.000,102469.000,waitingForPt,70331.000,"149427",<none>,,"",true,true,true,false,"149427","136374","tr_3445","XXX---162461_109","XXX---162461_109_22",true,PT_BOARDED_NOT_ARRIVED
